,distance_m
4290270,5126.270321029455
4300160,15171.32094457501
4300162,14706.696231655616
4300165,16967.937098142327
4300166,15327.636572499674
4300167,12266.198347353116
4300168,9246.84243568761
4300170,17124.252726066974
430050,3440.217474876606
430054,4475.636842802148
4350224,26208.815211960045
4350225,26895.764391885252
4350226,28106.083553101766
4350227,25996.677954986444
4350228,20756.762391648317
4350229,21083.37262204451
4350230,19186.10428090279
4350231,19857.675954749513
4360230,8545.580761574513
4360237,21506.37764547462
4360239,18840.963264148188
4360247,20875.04374937264
4360248,17976.438248586615
4360250,7900.9365522353
4360252,9835.092434465916
4360253,7428.7482277868385
4360254,5670.24863994192
4390084,17294.59029332378
4390087,8952.162168083425
4390090,5063.743803199093
4390091,12436.466406118447
440139,2871.9475954612776
440140,6462.59243245204
440141,6027.77768017738
4410203,20559.47170265922
4410205,19827.40262021342
4410206,18764.758718818135
4410207,19001.58726240661
4410208,14455.768926629635
4420223,10376.447995535751
4420229,19771.45210051434
4420232,19039.383018068544
4420236,18213.569877075985
4420237,9392.257863130015
4420238,17976.74133348751
4420239,13667.751541299014
4420244,14165.918505806758
4500173,11168.134349482747
4500174,18194.665689998463
4500180,25166.6330053368
4500183,10617.690347031314
4500184,17850.03758301987
4500189,25119.72246593446
450136,5676.354999265042
450137,5927.865550506599
450138,5676.354999265042
450139,6489.71110808297
450144,3893.561543928279
450152,9352.5639959746
4510062,11209.421443351555
4510063,12510.206876006392
4510064,10874.10345809523
4510065,12180.414858226852
4550271,20042.067919243702
4550272,13122.27397226541
4550278,10600.98539619894
4550279,5678.848335751019
4550280,21363.637945318518
4550281,13870.947643209407
4560076,10900.17736287477
4560077,10823.203372705333
470173,10949.66987538721
470174,10509.473216600714
500063,6635.757244722127
500064,6457.583180790541
5010114,15264.626156018214
5010127,15988.115470933826
5010128,10402.30423281334
5010132,10000.275003431263
5040107,13558.958483469822
5040108,13568.408987725843
5050083,22110.702053194036
5050085,23099.937242164
5050088,23102.91747574026
5050089,23475.366759491328
510143,12531.07809591293
510144,12432.22070366167
520211,17337.354106646584
520212,17485.439094534846
520213,13974.37355194351
520214,14082.060748684822
550088,2941.510173282931
550089,2658.679275905375
5530142,12338.111131147645
5530143,12956.190176432563
5540093,15522.075094110227
5540094,14398.70823995016
5560063,9071.326392511546
5560066,9372.239905579154
5580084,13544.864351359416
5580085,13090.001659362111
570222,4228.344933356297
570228,6061.499390285491
570231,6045.467583210766
570232-1,6045.467583210766
570232-2,3465.88576860932
570241,10351.439021215832
570242,9270.878959262955
570243,8739.886410084691
590092,14500.962833573029
590093,14439.581733985144
590094,14495.68530094615
590095,14415.651947269422
600168,9987.928948727353
600173,7882.064351343742
600174,7350.072222326637
600185,9403.546004630389
600186,11509.410602014003
600187,8854.338398317275
600188,6748.473800933657
610028,6459.293181363191
610029,10764.645091708895
6130001,5125.228276706089
6130002,10850.26830078285
6130003,5203.479125490421
6130004,11049.793603527916
620172,20199.393753768174
620182,20163.250148692678
620183,27294.910236963904
620184,34120.79701755625
620185,34108.82973670428
620186,27306.877517815836
640167,7815.779059936182
640168,7700.00848485573
640170,9435.36949310156
640171,8763.404345851206
640172,7600.587337838286
650101,6880.577716824956
650102,6541.210396887481
660231,8054.569504857408
660235,7189.305620897915
660237-1,2664.3833261118566
660237-2,6532.009510611259
660250,9971.725962539438
660254-1,1565.1550769804282
660254-2,6347.861377696969
660254-3,5193.540497725577
660255-1,2664.3833261118566
660255-2,6532.009510611259
660255-3,3402.329045861755
660262,9932.655532873221
670056,8883.444490628732
670057,7276.525974203774
680051,3647.9648926564273
680052,3413.110995673415
690123,3963.1179669981157
690124,4429.726307194311
690125,2916.8785841165964
700248,16475.568021861232
700249,16278.297958284076
700250,12247.953903497935
700251,12975.798880662314
700252,16293.972636284556
700253,16805.17882529675
700254,6807.477123014059
700255,12350.137705666624
7080063,6908.535200347104
7080067,6670.341838678673
7080080,6383.267347954332
7080081,6255.35907397699
710106,1914.7342546975585
710107,2142.9350969532643
710108,6779.032428501519
710109,6471.160247224173
710110,6471.160247224173
710111,5959.319608430118
7120085,4726.250958402725
7120087,4658.975361299887
7120088,7001.391862250091
7120089,6935.906410758339
7130068,4470.724137250763
7130069,4510.710195839628
7130070,7182.472404479041
7130071,6820.106566881712
7140010,14053.64629293325
7140012,14033.311248128679
7160023,19368.317046096883
7160024,19070.40959115052
7160025,16256.671150391458
7160026,16642.26554325092
730152,6940.755749565601
730153,7434.619801690991
730154,6940.755749565601
730155,6614.906981619591
740075,5961.334194378025
740077,5917.751136723125
7410035,7327.365476925708
7410037,8280.246123207146
7410040,8199.642307062986
7420061,2630.1245897323643
7420063,4164.479286049366
7430022,10991.856180355302
7430024,10409.43457937587
7430028,10328.830763231714
7460022,1702.5985528706626
7460023,1885.3525760289156
7470070,10547.271245075333
7470071,10378.843974896197
7490036,3596.357756498851
7490037,3825.3400723740333
750080,3426.9043544423644
750090,6784.243990533245
750092,3794.725417776011
750093,6738.637194847097
7510040,3754.093477959881
7510042,3889.3523094323464
760136,25943.897951657265
760137,19129.97845191686
760140,19564.026449291498
760141,26377.945949031924
770115,9159.011030903657
770117,8357.91685036799
770135,8693.536756528663
780136,13074.985734173577
780137,11316.071209133046
8000005,8248.601162482824
8000006,8243.318790649133
8000008,23209.766814601102
8000008-70206-70202-0,3257.0059192487824
8000008-70206-70202-2,19177.285260745946
8000009,23255.509844778844
8000009-70201-70205-0,19177.486526407803
8000009-70201-70205-2,3302.8239408960403
8000012,10350.990225897158
8000013,10323.730487807597
8000014,18063.961429747007
8000014-70201-70511-0,10371.577344633011
8000015,13804.860777111764
8000015-70201-70205-0,6112.4766919977465
8000015-70201-70205-2,6917.184707639028
8000016,15961.572366332684
8000016-70201-70511-0,8269.188281218678
8000017,15966.400400717268
8000017-70512-70202-2,8269.340654385276
8000018,13830.900424533647
8000018-70206-70202-0,6921.584111725611
8000018-70206-70202-2,6133.840678201637
8000019,18046.81209787576
8000019-70512-70202-2,10349.75235154374
8000020,26869.870611521823
8000020-70201-70511-0,19177.486526407803
8000021,26874.345007077918
8000021-70512-70202-2,19177.285260745946
8000022,3952.732462016829
8000023,23255.509844778844
8000023-70201-70205-0,19177.486526407803
8000023-70201-70205-2,3302.8239408960403
8000024,23209.766814601102
8000024-70206-70202-0,3257.0059192487824
8000024-70206-70202-2,19177.285260745946
8000025,10323.730487807597
8000026,8243.318790649133
8000027,13804.860777111764
8000027-70201-70205-0,6112.4766919977465
8000027-70201-70205-2,6917.184707639028
800109,10210.009795370806
800112,9573.406038651137
830113,5680.754438716673
830115,5868.665453965095
830116,4730.049439941899
850078,2982.1433910609253
850079,2829.641082330989
860151,11172.878086217708
860156,10665.047708867616
870183,8329.768278738457
870184,6251.420812318708
870185,7321.2846292539325
870186,8808.219718616423
880150,6564.230414727514
880151,4029.6240161159108
880155,6447.992553236529
890189,4578.614121045812
890190,5891.990389450989
890191,5974.468084773027
890192,5342.584482195376
899_0005,4071.95396873379
899_0008,4067.65532568981
900111,7748.928527965165
900112,7576.621853386776
903_0019,17768.54067604941
903_0021,17768.539482782093
903_0022,17768.54067604941
903_0023,17768.539482782093
910114,3680.1248807244788
910126,4004.2039655541257
920135,4474.174989874135
920137,3753.528332676564
920143,3993.236075794811
920152,4211.540121383722
930162,4362.538700436909
930168,3016.954295842225
930176,5083.185357634481
930178,6121.327415698545
930180,4871.473219508144
930181,5921.078960576635
930183,4636.296943146221
931_0009,19115.917838541176
931_0010,19116.15482837135
933_0009,28666.001873869434
933_0010,28666.001721082288
933_0015,28666.001873869434
933_0016,28666.001721082288
933_0017,28666.001721082288
933_0018,28666.001873869434
940132,6861.4238362747
940133,9746.644758516453
940138,7335.088768553875
946_0013,9630.41218524361
946_0014,9630.989931722854
946_0015,9630.989931722854
948_0005,6151.93924522593
950229,5320.757416955066
950231,3525.7975464506885
950248,3952.5774021146726
950253,10497.814199502878
950254,9603.430007852407
950255,8197.425289317976
950256,8694.735536580903
960118,7523.38628506452
960124,7451.210928967413
970075,7827.290510600914
970078,8097.221765019436
9790001,56636.93238013436
9790002,56636.93238013446
9800001,57266.07984720474
9800002,57266.07984720469
9810001,58347.81675527943
9810002,58347.81675527942
9810006,56800.08692850768
9810007,56800.086928507604
9820001,52918.69587745714
9820002,52918.695877457154
9820003,53541.45963282546
9820004,53541.45963282556
9830005,40588.533067054814
9830006,40588.53306705485
9840003,86063.69349547035
9840004,86063.69349547042
9850001,71478.14341850003
9850002,71478.14341849994
9860001,21930.610749409287
9860002,21930.610749409283
9870001,14762.110151565006
9870002,14762.110151565023
9880002,48156.76362891468
9880003,48156.763628914676
9880005,48908.49319347395
9880006,48908.493193473936
9890003,30440.534245186052
9890004,30440.53424518611
9890008,101127.84329662849
9890009,101127.84333410245
9900001,44643.325542411716
9900002,44643.32554241171
990129,12124.425387046651
990130,11755.25673019508
990131,13062.974494187254
990132,13897.096036160709
AndersonWoburnToReading-S,5256.324138927046
AshlandToFramingham-S,8029.98709793946
CentralWharfToFanPierToQuincyToWinthrop-F,19315.750861498087
CentralWharfToFanPierToWinthrop-F,9230.458216727577
CentralWharfToQuincyToWinthrop-F,18692.584629059427
CentralWharfToWinthrop-F,8607.069840806495
FoxboroToSouthStationViaBackBay,36682.86375897927
FoxboroToSouthStationViaFairmount,35931.13419442002
FraminghamToAshland-S,6916.25121396406
LewisWharfToLongWharf-F,950.0866307765468
LongWharfNorthToLynn-S,22144.968005913684
LongWharfToLewisWharf-F,950.2120175526856
LynnToLongWharfNorth-S,22144.96800591368
LynnToSwampscott-S,3148.8188114493273
OakGroveToReading-S,12137.549368108886
ProvidenceToSouthStationViaFoxboro,74699.04241325673
QuincyToWinthrop-F,8996.218544873296
ReadingToAndersonWoburn-S,5374.226573558541
ReadingToOakGrove-S,12625.38456213613
SouthStationToFoxboroViaBackBay,36682.86375897927
SouthStationToFoxboroViaFairmount,35931.134194419996
SouthStationToStoughtonViaFairmount,29648.730449004226
SwampscottToLynn-S,2843.1881825336227
WinthropToLoganToCentralWharf-F,9472.548161650398
WinthropToLoganToFanPierToCentralWharf-F,10328.757458730677
WinthropToQuincy-F,8996.218544873296
WinthropToQuincyToLoganToCentralWharf-F,19557.87380326496
b0001,19319.8996350401
b0002,13711.681564697845
b0003,13711.68156469784
b0006,19944.272098073347
b0007,19944.272098073343
b0008,17886.470129578658
b0009,17886.470129578665
b0012,17228.926855113976
b0013,17228.926855113976
b0014,16955.78049019173
b0015,16955.78049019173
b0016,19319.899635040103
b0017,1902.498637588905
b0018,1902.4986375889057
b0021,14365.179962039827
canonical-8000005,8248.601162482824
canonical-8000006,8243.318790649133
canonical-8000008,23209.766814601102
canonical-8000009,23255.509844778844
canonical-8000012,10350.990225897158
canonical-8000013,10323.730487807597
canonical-8000015,13804.860777111764
canonical-8000018,13830.900424533647
canonical-899_0005,4071.95396873379
canonical-899_0008,4067.65532568981
canonical-903_0017,17768.539556010135
canonical-903_0018,17768.540667916066
canonical-931_0009,19115.917838541176
canonical-931_0010,19116.15482837135
canonical-933_0009,28540.862400185313
canonical-933_0010,28540.862247398167
canonical-946_0013,9630.41218524361
canonical-946_0014,9630.989931722854
canonical-9790001,56636.93238013436
canonical-9790002,56636.93238013446
canonical-9800001,57266.07984720474
canonical-9800002,57266.07984720469
canonical-9810001,58347.81675527943
canonical-9810002,58347.81675527942
canonical-9810006,56800.08692850768
canonical-9810007,56800.086928507604
canonical-9820001,52918.69587745714
canonical-9820002,52918.695877457154
canonical-9830005,40588.533067054814
canonical-9830006,40588.53306705485
canonical-9840003,86063.69349547035
canonical-9840004,86063.69349547042
canonical-9850001,71478.14341850003
canonical-9850002,71478.14341849994
canonical-9860001,21930.610749409287
canonical-9860002,21930.610749409283
canonical-9870001,14762.110151565006
canonical-9870002,14762.110151565023
canonical-9880005,48908.49319347395
canonical-9880006,48908.493193473936
canonical-9890003,30440.534245186052
canonical-9890004,30440.53424518611
canonical-9890008,101127.84329662849
canonical-9890009,101127.84333410245
canonical-9900001,44643.325542411716
canonical-9900002,44643.32554241171
canonical-FoxboroToSouthStationViaBackBay,36682.86375897927
canonical-ProvidenceToSouthStationViaFoxboro,74699.04241325673
canonical-SouFoxProv,74699.04241325673
canonical-SouthStationToFoxboroViaBackBay,36682.86375897927
canonical-cf00001,127520.82059540164
canonical-cf00002,127520.82059540172
pull0141,2204.8760028892357
pull0142,2120.349157387683
pull0143,2464.5199523658307
pull0146,9340.809689761842
pull0154,1627.2789268874922
pull0157,1146.0258111861262
pull0160,2832.9467393769078
pull0161,6460.635720245522
pull0163,6481.783951126518
pull0164,8303.626397854547
pull0175,3649.2886031680955
pull0176,5758.518164554515
pull0186,6540.927818320996
pull0198,2994.4190666838876
pull0199,5423.559025077727
pull0201,3399.730066648379
pull0204,3687.582062208693
pull0205,3867.8889915851114
pull0208,2057.8107913520867
pull0210,1704.1797289812878
pull0211,2253.701076191148
pull0212,3512.364014227977
pull0213,3506.321535623103
pull0214,2777.5993816376767
